jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#U8JJ2RYGQ,9237,P.E.K.K.A,Wizard,Tesla,Battle Ram,Bats,Vines,Arrows,Ice Spirit,#LQVYQYVJ,9241,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap
#VUUCQC2GJ,9287,P.E.K.K.A,Firecracker,Elite Barbarians,Minions,Rage,Guards,Electro Wizard,The Log,#LQVYQYVJ,9269,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap
#LQVYQYVJ,9241,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap,#P9RRLRGQC,9226,Lumberjack,Goblin Barrel,Musketeer,Fireball,Wizard,Elite Barbarians,Witch,Valkyrie
#LQVYQYVJ,9213,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Zap,#VLY8RRL2,9194,Dart Goblin,Firecracker,The Log,Golden Knight,Sparky,Hog Rider,Goblin Gang,Knight
#LGCC28JU2,9242,Giant Snowball,Valkyrie,Cannon,Mini P.E.K.K.A,Hog Rider,Dart Goblin,Witch,Vines,#LQVYQYVJ,9243,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Ice Spirit
#JQU8UUYC8,9273,Royal Giant,Firecracker,Royal Ghost,Tombstone,Electro Spirit,The Log,Void,Archer Queen,#LQVYQYVJ,9273,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Hog Rider,Valkyrie,Ice Spirit
#UUL8L2VJ,9298,Hog Rider,Valkyrie,Wizard,Goblin Gang,Skeleton Army,Arrows,The Log,Electro Wizard,#LQVYQYVJ,9303,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel
#LQVYQYVJ,9273,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#VUQP9V8,9274,Fireball,Dart Goblin,The Log,Miner,Goblin Demolisher,Elite Barbarians,Bats,Witch
#LQVYQYVJ,9244,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#QV8RLY2JV,9238,Wizard,Valkyrie,Firecracker,Minion Horde,Skeleton Army,Fireball,Hog Rider,Bandit
#LQVYQYVJ,9213,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#90QU2LG2,9234,Ice Spirit,Firecracker,P.E.K.K.A,Sparky,Freeze,Wizard,Electro Wizard,Fireball
#LQVYQYVJ,9183,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#ULVGLU202,9183,Mega Knight,Wizard,Firecracker,Dart Goblin,Inferno Tower,Archers,Princess,Boss Bandit
#LQVYQYVJ,9154,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#RJPJV90GC,9152,P.E.K.K.A,Firecracker,Tesla,Goblin Barrel,Mini P.E.K.K.A,Arrows,Magic Archer,Royal Ghost
#UU0PQ292G,9185,Tesla,Firecracker,Mega Knight,The Log,Goblin Barrel,Boss Bandit,Royal Ghost,Skeleton Army,#LQVYQYVJ,9183,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel
#LQVYQYVJ,9154,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#2J8RRUUQ2,9153,Skeleton Army,Furnace,P.E.K.K.A,Rage,Vines,Electro Spirit,Wizard,Mirror
#LQVYQYVJ,9124,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#LJCP8RVQ2,9133,P.E.K.K.A,Minions,Baby Dragon,Dart Goblin,The Log,Zap,Goblin Gang,Bandit
#LQVYQYVJ,9093,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#VJLR8RVP2,9113,Mega Knight,Wizard,Knight,Valkyrie,Witch,Mini P.E.K.K.A,Inferno Tower,Arrows
#LQVYQYVJ,9064,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#9PLCU090J,9060,Lumberjack,Goblin Giant,Tombstone,Princess,Giant Snowball,Mega Minion,Knight,Bomber
#LQVYQYVJ,9034,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Goblin Barrel,Valkyrie,Skeleton Barrel,#QP9P20UJG,9043,Mortar,Knight,Furnace,The Log,Goblin Barrel,Goblin Gang,Ice Spirit,Rocket
#Q8GCGYU8J,9061,Skeletons,Royal Giant,Dark Prince,The Log,Fisherman,Ice Spirit,Mother Witch,Zappies,#LQVYQYVJ,9064,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Fireball,Valkyrie,Skeleton Barrel
#LQVYQYVJ,9033,Knight,Bats,Tombstone,Firecracker,Barbarian Barrel,Fireball,Valkyrie,Skeleton Barrel,#VYRJRCLRY,9051,Skeleton Barrel,Mortar,Dart Goblin,Goblin Gang,Bats,Skeleton King,Arrows,Spirit Empress
